aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
frozen meals,frozen,refrigerated pudding desserts,dairy eggs,5402,0.1680314687294121,2.2877941904207884
frozen meat seafood,frozen,hot dogs bacon sausage,meat,13118,0.40804087500785413,2.283938569594722
oral hygiene,personal care,vitamins supplements,personal care,1583,0.049239876897197214,2.283330961829855
fresh pasta,dry goods pasta,dry pasta,dry goods pasta,5504,0.17120422137850505,2.282445836708757
frozen meals,frozen,indian foods,international,2232,0.06942729326250421,2.2817267795537797
salad dressing toppings,pantry,doughs gelatins bake mixes,pantry,5513,0.17148417014166029,2.280020952264694
specialty cheeses,dairy eggs,packaged seafood,seafood,1125,0.03499359539440737,2.2782792076159684
crackers,snacks,canned fruit applesauce,canned goods,20304,0.6315644096782642,2.276284646394055
preserved dips spreads,pantry,fresh dips tapenades,deli,22735,0.7071816811483125,2.2727132611651535
grains rice dried goods,dry goods pasta,soup broth bouillon,canned goods,24772,0.7705434178757862,2.270742322507335
pasta sauce,dry goods pasta,meat counter,meat,9693,0.3015048179182139,2.264464435634318
breakfast bars pastries,breakfast,soft drinks,beverages,11588,0.3604495852714601,2.2612977731077577
breakfast bars pastries,breakfast,frozen pizza,frozen,5767,0.17938494634626428,2.2608886674061495
grains rice dried goods,dry goods pasta,asian foods,international,12746,0.39646965946410345,2.259219221321667
canned meals beans,canned goods,spices seasonings,pantry,26323,0.8187879213928757,2.258098433102987
cat food care,pets,dish detergents,household,2142,0.06662780563095164,2.255626596396601
marinades meat preparation,pantry,pasta sauce,dry goods pasta,8153,0.25360247400053626,2.2525860395332815
buns rolls,bakery,condiments,pantry,14037,0.4366267542678189,2.2508926904190205
soft drinks,beverages,cocoa drink mixes,beverages,3550,0.11042423435568546,2.2473171293515333
cocoa drink mixes,beverages,cleaning products,household,1129,0.03511801706692082,2.2466011612760073
mint gum,snacks,cleaning products,household,1136,0.03533575499381936,2.2452823887402356
packaged seafood,seafood,pickled goods olives,pantry,1469,0.04569385923056394,2.2416447023905044
bulk dried fruits vegetables,bulk,granola,breakfast,1082,0.0336560624148878,2.2366201029997805
fruit vegetable snacks,snacks,crackers,snacks,38017,1.182534680985942,2.235249558148402
paper goods,household,cocoa drink mixes,beverages,2561,0.07966097582673536,2.235150044767885
asian foods,international,spices seasonings,pantry,16103,0.500890548121015,2.2333610945878632
instant foods,dry goods pasta,refrigerated pudding desserts,dairy eggs,3667,0.11406356827670386,2.229987206396133
fresh pasta,dry goods pasta,frozen appetizers sides,frozen,3935,0.1223998203351049,2.2293779717973314
dog food care,pets,dish detergents,household,1583,0.049239876897197214,2.2269967781433095
soap,personal care,paper goods,household,7657,0.23817418660886866,2.2257169981649763
grains rice dried goods,dry goods pasta,dry pasta,dry goods pasta,20560,0.6395273967191248,2.2219796981548896
paper goods,household,energy sports drinks,beverages,10818,0.3364984133126213,2.2210514641797827
frozen dessert,frozen,frozen appetizers sides,frozen,2155,0.06703217606662035,2.2204705436657477
soft drinks,beverages,body lotions soap,personal care,6823,0.21223226788981467,2.219819227053074
instant foods,dry goods pasta,cocoa drink mixes,beverages,2085,0.06485479679763499,2.217621649249515
laundry,household,cocoa drink mixes,beverages,1008,0.031354261473389,2.2174092041515925
frozen vegan vegetarian,frozen,frozen breakfast,frozen,10680,0.3322058656109073,2.2154326932759107
oils vinegars,pantry,baking supplies decor,pantry,3103,0.09652011245230761,2.2134151185417172
cookies cakes,snacks,canned fruit applesauce,canned goods,10160,0.316031048184159,2.2123228231737735
hot dogs bacon sausage,meat,frozen appetizers sides,frozen,30888,0.9607841551488487,2.210253421109744
dish detergents,household,muscles joints pain relief,personal care,1076,0.03346942990611763,2.209965035327468
preserved dips spreads,pantry,salad dressing toppings,pantry,6095,0.18958752349236704,2.2082337864516344
fresh herbs,produce,bulk grains rice dried goods,bulk,3470,0.1079358009054165,2.2078416570172035
marinades meat preparation,pantry,tortillas flat bread,bakery,7243,0.22529654350372674,2.2059882440703977
frozen meat seafood,frozen,frozen meals,frozen,11135,0.3463588308593121,2.204240327867934
soup broth bouillon,canned goods,spices seasonings,pantry,30704,0.9550607582132301,2.2022642753751116
fresh herbs,produce,grains rice dried goods,dry goods pasta,26947,0.8381977023049736,2.2020212888882686
marinades meat preparation,pantry,canned fruit applesauce,canned goods,3110,0.09673785037920615,2.2008736401883047
prepared soups salads,deli,bakery desserts,bakery,1422,0.04423190457853092,2.200512868070133
marinades meat preparation,pantry,meat counter,meat,2759,0.08581984861615105,2.199794196675301
frozen pizza,frozen,deodorants,personal care,1314,0.04087251942066781,2.194249938426025
instant foods,dry goods pasta,buns rolls,bakery,11801,0.3670750393328012,2.193931245776863
dog food care,pets,energy sports drinks,beverages,1375,0.0427699499264979,2.193390103483543
poultry counter,meat,canned jarred vegetables,canned goods,20052,0.623725844309917,2.1929335852366276
frozen breakfast,frozen,refrigerated pudding desserts,dairy eggs,4309,0.13403324671511233,2.192622250599752
fresh pasta,dry goods pasta,doughs gelatins bake mixes,pantry,2082,0.0647614805432499,2.1917774906855065
marinades meat preparation,pantry,frozen appetizers sides,frozen,6614,0.20573123550098696,2.1906076068844134
frozen breakfast,frozen,hot dogs bacon sausage,meat,36415,1.132703801144306,2.1895151997158653
canned meals beans,canned goods,pickled goods olives,pantry,15602,0.48530673363870563,2.187567601217808
packaged seafood,seafood,breakfast bakery,bakery,3089,0.09608463659851055,2.18568596242995
salad dressing toppings,pantry,frozen dessert,frozen,1108,0.03446480328622522,2.184227061317322
frozen pizza,frozen,canned fruit applesauce,canned goods,7318,0.22762944986335387,2.1842110434822644
butter,dairy eggs,baking supplies decor,pantry,3377,0.10504299701947883,2.1826215229864676
instant foods,dry goods pasta,facial care,personal care,1248,0.03881956182419591,2.1807333982231376
instant foods,dry goods pasta,frozen meals,frozen,26681,0.8299236610828294,2.1798460449071424
preserved dips spreads,pantry,pickled goods olives,pantry,7078,0.220164149512547,2.1756204300814734
specialty cheeses,dairy eggs,fresh pasta,dry goods pasta,1782,0.05542985510474127,2.174791469826016
instant foods,dry goods pasta,salad dressing toppings,pantry,9725,0.3025001912983215,2.1736178556141574
cookies cakes,snacks,crackers,snacks,47271,1.470384220345805,2.1727617735205875
kitchen supplies,household,paper goods,household,1196,0.03720208008152108,2.1727344442760574
cold flu allergy,personal care,tea,beverages,2585,0.08040750586181605,2.1724917962341546
marinades meat preparation,pantry,dry pasta,dry goods pasta,8955,0.2785490193394827,2.1709462813445253
salad dressing toppings,pantry,cocoa drink mixes,beverages,1071,0.03331390281547582,2.170259368237434
latino foods,international,soup broth bouillon,canned goods,12276,0.38185011294377325,2.169321546884392
dish detergents,household,baking supplies decor,pantry,1229,0.03822855887975703,2.1679073978379355
pasta sauce,dry goods pasta,latino foods,international,9114,0.2834947808218922,2.164047187027238
cat food care,pets,soft drinks,beverages,6491,0.20190526907119843,2.1629443526373473
energy sports drinks,beverages,protein meal replacements,personal care,1706,0.05306584332698575,2.1627425008244376
packaged meat,meat,meat counter,meat,1548,0.04815118726270454,2.157905025975002
kitchen supplies,household,oils vinegars,pantry,1281,0.039846040622431855,2.1570974205408344
fresh herbs,produce,seafood counter,seafood,5911,0.18386412655674841,2.155530309799241
soap,personal care,trash bags liners,household,1126,0.03502470081253573,2.15501743827001
buns rolls,bakery,frozen dessert,frozen,1314,0.04087251942066781,2.15458686671581
instant foods,dry goods pasta,baby food formula,babies,16461,0.5120262878109686,2.1543477901220704
pasta sauce,dry goods pasta,doughs gelatins bake mixes,pantry,11944,0.37152311412515704,2.1537927165821413
fresh pasta,dry goods pasta,frozen meals,frozen,5424,0.16871578792823605,2.149062604469039
canned fruit applesauce,canned goods,cereal,breakfast,15454,0.480703131755708,2.147874828336144
candy chocolate,snacks,cookies cakes,snacks,28271,0.8793812759069252,2.142332098138364
vitamins supplements,personal care,tea,beverages,4850,0.15086127792255621,2.1419063189134997
breakfast bars pastries,breakfast,frozen appetizers sides,frozen,6554,0.20386491041328525,2.139841392025547
soft drinks,beverages,air fresheners candles,household,3043,0.09465378736460589,2.138983733498868
hair care,personal care,breakfast bars pastries,breakfast,1000,0.031105418128362105,2.1378229628665935
fresh dips tapenades,deli,chips pretzels,snacks,112549,3.5008837049290267,2.135476984142351
marinades meat preparation,pantry,canned meals beans,canned goods,8681,0.27002613477231147,2.1348927353972016
mint gum,snacks,paper goods,household,2461,0.07655043401389915,2.133385402415364
honeys syrups nectars,pantry,spices seasonings,pantry,7184,0.2234613238341534,2.1330918047208764
baking ingredients,pantry,oils vinegars,pantry,35610,1.1076639395509746,2.131713251535984
fresh pasta,dry goods pasta,canned fruit applesauce,canned goods,1758,0.05468332506966059,2.1281006221593772
instant foods,dry goods pasta,fruit vegetable snacks,snacks,16249,0.5054319391677559,2.1271468357142584
baby food formula,babies,frozen appetizers sides,frozen,16318,0.5075782130186128,2.126703880547906
baking ingredients,pantry,frozen dessert,frozen,3063,0.09527589572717314,2.1262159776507343
condiments,pantry,indian foods,international,1679,0.052225997037519976,2.1258152678317503
fresh herbs,produce,latino foods,international,13494,0.4197365122241183,2.1257493934651777
fruit vegetable snacks,snacks,frozen breakfast,frozen,19403,0.60353842794461,2.1253750420542867
energy granola bars,snacks,popcorn jerky,snacks,26808,0.8338740491851314,2.1203394285309973
bakery desserts,bakery,prepared meals,deli,1901,0.05913139986201637,2.1164630562509386
buns rolls,bakery,salad dressing toppings,pantry,5970,0.18569934622632178,2.1145565765339343
marinades meat preparation,pantry,pickled goods olives,pantry,3933,0.12233760949884817,2.1143937101061097
cookies cakes,snacks,doughs gelatins bake mixes,pantry,11163,0.3472297825669062,2.113869467225612
marinades meat preparation,pantry,soup broth bouillon,canned goods,10277,0.3196703821051774,2.1131953702158026
fruit vegetable snacks,snacks,frozen appetizers sides,frozen,16192,0.5036589303344392,2.1108230141103217
fresh herbs,produce,canned meals beans,canned goods,44129,1.3726509965864913,2.1097013717173776
packaged meat,meat,buns rolls,bakery,2287,0.07113809125956413,2.1075043776313436
popcorn jerky,snacks,cookies cakes,snacks,18178,0.5654342907373664,2.107411258276639
pasta sauce,dry goods pasta,frozen pizza,frozen,18084,0.5625103814333003,2.1072978197422128
diapers wipes,babies,energy sports drinks,beverages,1123,0.03493138455815065,2.106123631209832
pasta sauce,dry goods pasta,canned jarred vegetables,canned goods,30871,0.9602553630406666,2.105209323955101
buns rolls,bakery,frozen pizza,frozen,9468,0.29450609883933243,2.104733070415571
baking ingredients,pantry,bulk grains rice dried goods,bulk,2711,0.08432678854598967,2.0996814133558623
beers coolers,alcohol,soft drinks,beverages,5398,0.16790704705689866,2.097292036294477
fresh pasta,dry goods pasta,tortillas flat bread,bakery,4023,0.12513709713040078,2.095913278677846
instant foods,dry goods pasta,canned meals beans,canned goods,24140,0.7508847936186612,2.0939989995257138
meat counter,meat,dry pasta,dry goods pasta,10212,0.31764852992683384,2.0933297174632073
frozen breakfast,frozen,frozen dessert,frozen,2415,0.07511958477999449,2.0908854678044566
buns rolls,bakery,breakfast bars pastries,breakfast,4022,0.1251059917122724,2.0897200736295454
oils vinegars,pantry,bulk grains rice dried goods,bulk,2379,0.07399978972737345,2.088988581693994
food storage,household,canned fruit applesauce,canned goods,2829,0.0879972278851364,2.0879444770357147
food storage,household,doughs gelatins bake mixes,pantry,3253,0.10118592517156194,2.0879135406941542
frozen vegan vegetarian,frozen,frozen breads doughs,frozen,1992,0.06196199291169732,2.0866767547516285
cream,dairy eggs,ice cream toppings,snacks,1939,0.060313405750894125,2.0843142399331174
refrigerated pudding desserts,dairy eggs,frozen appetizers sides,frozen,3436,0.10687821668905219,2.080774949618711
pasta sauce,dry goods pasta,canned meals beans,canned goods,28876,0.8982000538745841,2.0807517874254247
